,NCESID,StudentTestID,StudentLocalID,StudentGradeLevel,TestDate,TestName,TestTypeName,TestSubjectName,TestGradeLevel,Score1Label,Score1Type,Score1Value,Score2Label,Score2Type,Score2Value,Score3Label,Score3Type,Score3Value
94,101010,1420704,Missing,3,4/1/2013,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3-NI,Scaled Score,Scale,238,CPI,Scale,75
95,101010,1420704,Missing,3,5/1/2013,MCAS,MCAS Math,Math,3,Performance Level,Level,4-P,Scaled Score,Scale,254,CPI,Scale,100
96,101010,1847404,Missing,3,4/1/2013,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4-P,Scaled Score,Scale,240,CPI,Scale,100
97,101010,1847404,Missing,3,5/1/2013,MCAS,MCAS Math,Math,3,Performance Level,Level,3-NI,Scaled Score,Scale,236,CPI,Scale,75
98,101010,1507404,Missing,3,4/1/2013,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3-NI,Scaled Score,Scale,234,CPI,Scale,75
99,101010,1507404,Missing,3,5/1/2013,MCAS,MCAS Math,Math,3,Performance Level,Level,2-W,Scaled Score,Scale,218,CPI,Scale,25
100,101010,1294872,Missing,3,4/1/2013,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3-NI,Scaled Score,Scale,220,CPI,Scale,50
101,101010,1294872,Missing,3,5/1/2013,MCAS,MCAS Math,Math,3,Performance Level,Level,3-NI,Scaled Score,Scale,226,CPI,Scale,50
102,101010,1606262,Missing,3,4/1/2013,MCAS,MCAS ELA,ELA,3,Performance Level,Level,5-A,Scaled Score,Scale,262,CPI,Scale,100
103,101010,1606262,Missing,3,5/1/2013,MCAS,MCAS Math,Math,3,Performance Level,Level,4-P,Scaled Score,Scale,254,CPI,Scale,100
104,101010,1759395,Missing,3,4/1/2013,MCAS,MCAS ELA,ELA,3,Performance Level,Level,2-W,Scaled Score,Scale,218,CPI,Scale,25
105,101010,1759395,Missing,3,5/1/2013,MCAS,MCAS Math,Math,3,Performance Level,Level,2-W,Scaled Score,Scale,218,CPI,Scale,25
106,101010,1084960,Missing,3,4/1/2013,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3-NI,Scaled Score,Scale,220,CPI,Scale,50
107,101010,1084960,Missing,3,5/1/2013,MCAS,MCAS Math,Math,3,Performance Level,Level,3-NI,Scaled Score,Scale,226,CPI,Scale,50
108,101010,1011692,Missing,3,4/1/2013,MCAS,MCAS ELA,ELA,3,Performance Level,Level,2-W,Scaled Score,Scale,214,CPI,Scale,25
109,101010,1011692,Missing,3,5/1/2013,MCAS,MCAS Math,Math,3,Performance Level,Level,3-NI,Scaled Score,Scale,238,CPI,Scale,75
110,101010,1092794,Missing,3,4/1/2013,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3-NI,Scaled Score,Scale,224,CPI,Scale,50
111,101010,1092794,Missing,3,5/1/2013,MCAS,MCAS Math,Math,3,Performance Level,Level,3-NI,Scaled Score,Scale,226,CPI,Scale,50
112,101010,1858174,Missing,3,4/1/2013,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4-P,Scaled Score,Scale,242,CPI,Scale,100
113,101010,1858174,Missing,3,5/1/2013,MCAS,MCAS Math,Math,3,Performance Level,Level,4-P,Scaled Score,Scale,254,CPI,Scale,100
114,101010,1105994,Missing,3,4/1/2013,MCAS,MCAS ELA,ELA,3,Performance Level,Level,2-W,, , ,CPI,Scale,100
115,101010,1105994,Missing,3,5/1/2013,MCAS,MCAS Math,Math,3,Performance Level,Level,2-W,, , ,CPI,Scale,100
116,101010,1649393,Missing,3,4/1/2013,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3-NI,Scaled Score,Scale,226,CPI,Scale,50
117,101010,1649393,Missing,3,5/1/2013,MCAS,MCAS Math,Math,3,Performance Level,Level,3-NI,Scaled Score,Scale,236,CPI,Scale,75
118,101010,1585223,Missing,3,4/1/2013,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3-NI,Scaled Score,Scale,238,CPI,Scale,75
119,101010,1585223,Missing,3,5/1/2013,MCAS,MCAS Math,Math,3,Performance Level,Level,3-NI,Scaled Score,Scale,226,CPI,Scale,50
120,101010,1168971,Missing,3,4/1/2013,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4-P,Scaled Score,Scale,246,CPI,Scale,100
121,101010,1168971,Missing,3,5/1/2013,MCAS,MCAS Math,Math,3,Performance Level,Level,4-P,Scaled Score,Scale,248,CPI,Scale,100
122,101010,1992374,Missing,3,4/1/2013,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3-NI,Scaled Score,Scale,220,CPI,Scale,50
123,101010,1992374,Missing,3,5/1/2013,MCAS,MCAS Math,Math,3,Performance Level,Level,4-P,Scaled Score,Scale,240,CPI,Scale,100
124,101010,1325422,Missing,3,4/1/2013,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4-P,Scaled Score,Scale,252,CPI,Scale,100
125,101010,1325422,Missing,3,5/1/2013,MCAS,MCAS Math,Math,3,Performance Level,Level,4-P,Scaled Score,Scale,256,CPI,Scale,100
126,101010,1707277,Missing,4,4/1/2013,MCAS,MCAS ELA,ELA,4,Performance Level,Level,3-NI,Scaled Score,Scale,232,CPI,Scale,75
127,101010,1707277,Missing,4,5/1/2013,MCAS,MCAS Math,Math,4,Performance Level,Level,3-NI,Scaled Score,Scale,236,CPI,Scale,75
128,101010,1223505,Missing,4,4/1/2013,MCAS,MCAS ELA,ELA,4,Performance Level,Level,3-NI,Scaled Score,Scale,220,CPI,Scale,50
129,101010,1223505,Missing,4,5/1/2013,MCAS,MCAS Math,Math,4,Performance Level,Level,2-W,Scaled Score,Scale,218,CPI,Scale,25
130,101010,1850355,Missing,4,4/1/2013,MCAS,MCAS ELA,ELA,4,Performance Level,Level,3-NI,Scaled Score,Scale,232,CPI,Scale,75
131,101010,1850355,Missing,4,5/1/2013,MCAS,MCAS Math,Math,4,Performance Level,Level,3-NI,Scaled Score,Scale,232,CPI,Scale,75
132,101010,1382899,Missing,4,4/1/2013,MCAS,MCAS ELA,ELA,4,Performance Level,Level,3-NI,Scaled Score,Scale,232,CPI,Scale,75
133,101010,1382899,Missing,4,5/1/2013,MCAS,MCAS Math,Math,4,Performance Level,Level,3-NI,Scaled Score,Scale,226,CPI,Scale,50
134,101010,1539353,Missing,4,4/1/2013,MCAS,MCAS ELA,ELA,4,Performance Level,Level,3-NI,Scaled Score,Scale,238,CPI,Scale,75
135,101010,1539353,Missing,4,5/1/2013,MCAS,MCAS Math,Math,4,Performance Level,Level,5-A,Scaled Score,Scale,260,CPI,Scale,100
136,101010,1536615,Missing,4,4/1/2013,MCAS,MCAS ELA,ELA,4,Performance Level,Level,3-NI,Scaled Score,Scale,220,CPI,Scale,50
137,101010,1536615,Missing,4,5/1/2013,MCAS,MCAS Math,Math,4,Performance Level,Level,3-NI,Scaled Score,Scale,226,CPI,Scale,50
138,101010,1470518,Missing,4,4/1/2013,MCAS,MCAS ELA,ELA,4,Performance Level,Level,4-P,Scaled Score,Scale,242,CPI,Scale,100
139,101010,1470518,Missing,4,5/1/2013,MCAS,MCAS Math,Math,4,Performance Level,Level,3-NI,Scaled Score,Scale,236,CPI,Scale,75
140,101010,1570107,Missing,4,4/1/2013,MCAS,MCAS ELA,ELA,4,Performance Level,Level,2-W,, , ,CPI,Scale,100
